country;gender;age;smoker;rates
CHE;M;20;Yes;0,000560209572687317
CHE;M;20;No;0,000145787022555571
CHE;M;21;Yes;0,000614706153993616
CHE;M;21;No;0,000159969026426
CHE;M;22;Yes;0,00064874995608829
CHE;M;22;No;0,000168828469009328
CHE;M;23;Yes;0,000661332808824382
CHE;M;23;No;0,000172102987555754
CHE;M;24;Yes;0,000656524924112997
CHE;M;24;No;0,000170851800087641
CHE;M;25;Yes;0,000641542784321286
CHE;M;25;No;0,000166952899286522
CHE;M;26;Yes;0,000624104086122079
CHE;M;26;No;0,000162414712130041
CHE;M;27;Yes;0,000610463117260798
CHE;M;27;No;0,00015886483306332
CHE;M;28;Yes;0,000604615943993973
CHE;M;28;No;0,000157343184697249
CHE;M;29;Yes;0,000608377856362377
CHE;M;29;No;0,000158322171901401
CHE;M;30;Yes;0,000621843019485268
CHE;M;30;No;0,000161826299884246
CHE;M;31;Yes;0,000643937609566317
CHE;M;31;No;0,000167576120414892
CHE;M;32;Yes;0,000673012218153138
CHE;M;32;No;0,000175142397080798
CHE;M;33;Yes;0,000707492882144405
CHE;M;33;No;0,000184115527109463
CHE;M;34;Yes;0,000746526939110475
CHE;M;34;No;0,000194273616547403
CHE;M;35;Yes;0,000790448622405305
CHE;M;35;No;0,000205703645139142
CHE;M;36;Yes;0,000840885514537583
CHE;M;36;No;0,000218829169388307
CHE;M;37;Yes;0,000900451119624333
CHE;M;37;No;0,000234330318664749
CHE;M;38;Yes;0,000972117052878607
CHE;M;38;No;0,000252980415944751
CHE;M;39;Yes;0,00105843139479294
CHE;M;39;No;0,000275442564977962
CHE;M;40;Yes;0,00116076020372345
CHE;M;40;No;0,000302072264117295
CHE;M;41;Yes;0,00127875674581882
CHE;M;41;No;0,000332779280531559
CHE;M;42;Yes;0,00141032338389773
CHE;M;42;No;0,000367017732297317
CHE;M;43;Yes;0,00155231392990944
CHE;M;43;No;0,000403968866200273
CHE;M;44;Yes;0,0017019906714208
CHE;M;44;No;0,000442920229323339
CHE;M;45;Yes;0,00185883404938519
CHE;M;45;No;0,000483736613397785
CHE;M;46;Yes;0,0020259883417958
CHE;M;46;No;0,000527236274571063
CHE;M;47;Yes;0,0022107093395436
CHE;M;47;No;0,000575307435040463
CHE;M;48;Yes;0,00242361906149736
CHE;M;48;No;0,000630714332655363
CHE;M;49;Yes;0,00267700313488303
CHE;M;49;No;0,000696654137012327
CHE;M;50;Yes;0,00298253063809254
CHE;M;50;No;0,000776163569148741
CHE;M;51;Yes;0,00334873743356838
CHE;M;51;No;0,000871463972702963
CHE;M;52;Yes;0,00377871335522739
CHE;M;52;No;0,000983359435482288
CHE;M;53;Yes;0,00426879794821362
CHE;M;53;No;0,00111089737323848
CHE;M;54;Yes;0,00480938807140625
CHE;M;54;No;0,00125157869738143
CHE;M;55;Yes;0,00538857296978028
CHE;M;55;No;0,00140230379377358
CHE;M;56;Yes;0,00599797715183161
CHE;M;56;No;0,00156089305316091
CHE;M;57;Yes;0,00663861169062917
CHE;M;57;No;0,00172760959373971
CHE;M;58;Yes;0,00732400386858592
CHE;M;58;No;0,00190597370920434
CHE;M;59;Yes;0,00807895262427153
CHE;M;59;No;0,00210243899048377
CHE;M;60;Yes;0,00893408247382521
CHE;M;60;No;0,00232497505688263
CHE;M;61;Yes;0,00991766883704988
CHE;M;61;No;0,00258094020691198
CHE;M;62;Yes;0,0110467139517541
CHE;M;62;No;0,00287475904476948
CHE;M;63;Yes;0,0123196915587885
CHE;M;63;No;0,00320603438199592
CHE;M;64;Yes;0,0137141410490012
CHE;M;64;No;0,00356892114650987
CHE;M;65;Yes;0,0151923977052939
CHE;M;65;No;0,00395361760119568
CHE;M;66;Yes;0,0167164968024924
CHE;M;66;No;0,00435024393586244
CHE;M;67;Yes;0,0182685343133633
CHE;M;67;No;0,00475414086771785
CHE;M;68;Yes;0,019868441540405
CHE;M;68;No;0,00517049525073323
CHE;M;69;Yes;0,021581163046177
CHE;M;69;No;0,00561620803567481
CHE;M;70;Yes;0,0235100879578845
CHE;M;70;No;0,00611818485528206
CHE;M;71;Yes;0,0257792554557232
CHE;M;71;No;0,00670870524143479
CHE;M;72;Yes;0,0285093657679082
CHE;M;72;No;0,00741917980857301
CHE;M;73;Yes;0,0317925986863199
CHE;M;73;No;0,00827359711036169
CHE;M;74;Yes;0,0356730294910566
CHE;M;74;No;0,00928342714689918
CHE;M;75;Yes;0,040146282540415
CHE;M;75;No;0,010447531216159
CHE;F;20;Yes;0,000198841066911027
CHE;F;20;No;5,17457189595574e-05
CHE;F;21;Yes;0,000219128106847638
CHE;F;21;No;5,7025148824772e-05
CHE;F;22;Yes;0,000238313013737507
CHE;F;22;No;6,20177633566214e-05
CHE;F;23;Yes;0,000253678626879517
CHE;F;23;No;6,60164579504474e-05
CHE;F;24;Yes;0,000264037445751619
CHE;F;24;No;6,87122015331785e-05
CHE;F;25;Yes;0,000270308689353243
CHE;F;25;No;7,03442085123089e-05
CHE;F;26;Yes;0,000275059760739429
CHE;F;26;No;7,15806110750471e-05
CHE;F;27;Yes;0,000281441565264938
CHE;F;27;No;7,32413900507482e-05
CHE;F;28;Yes;0,000292201713558504
CHE;F;28;No;7,60415742290557e-05
CHE;F;29;Yes;0,000309084188238339
CHE;F;29;No;8,04350116798589e-05
CHE;F;30;Yes;0,000332524052621611
CHE;F;30;No;8,65349217923392e-05
CHE;F;31;Yes;0,000361510537041204
CHE;F;31;No;9,40782653264643e-05
CHE;F;32;Yes;0,00039371449680849
CHE;F;32;No;0,00010245891363715
CHE;F;33;Yes;0,0004261178342967
CHE;F;33;No;0,0001108914473238
CHE;F;34;Yes;0,000456172488268448
CHE;F;34;No;0,000118712767647658
CHE;F;35;Yes;0,000483044164633405
CHE;F;35;No;0,000125705760769021
CHE;F;36;Yes;0,000508256209498591
CHE;F;36;No;0,000132266857066967
CHE;F;37;Yes;0,000535397007892237
CHE;F;37;No;0,000139329885584331
CHE;F;38;Yes;0,000569163044647241
CHE;F;38;No;0,000148117043465979
CHE;F;39;Yes;0,000614258186415967
CHE;F;39;No;0,000159852448876221
CHE;F;40;Yes;0,000674436583698191
CHE;F;40;No;0,000175513069097073
CHE;F;41;Yes;0,0007516762987374
CHE;F;41;No;0,00019561366827925
CHE;F;42;Yes;0,000845482630862569
CHE;F;42;No;0,000220025507212643
CHE;F;43;Yes;0,000952634304701612
CHE;F;43;No;0,000247910292215342
CHE;F;44;Yes;0,00106792771558287
CHE;F;44;No;0,000277913855010648
CHE;F;45;Yes;0,00118617878121271
CHE;F;45;No;0,000308687107758723
CHE;F;46;Yes;0,00130488033703099
CHE;F;46;No;0,000339577594532179
CHE;F;47;Yes;0,00142620400046615
CHE;F;47;No;0,000371150449620856
CHE;F;48;Yes;0,00155727703452612
CHE;F;48;No;0,000405260447565486
CHE;F;49;Yes;0,00170866985839856
CHE;F;49;No;0,000444658398090981
CHE;F;50;Yes;0,00189179536296966
CHE;F;50;No;0,000492314352874724
CHE;F;51;Yes;0,0021159170549195
CHE;F;51;No;0,000550639015201981
CHE;F;52;Yes;0,00238517826782513
CHE;F;52;No;0,000620710632027287
CHE;F;53;Yes;0,00269624016058374
CHE;F;53;No;0,000701660314765196
CHE;F;54;Yes;0,00303778402328507
CHE;F;54;No;0,000790542521073274
CHE;F;55;Yes;0,00339337051325503
CHE;F;55;No;0,000883079132657814
CHE;F;56;Yes;0,00374786643488515
CHE;F;56;No;0,000975331938468748
CHE;F;57;Yes;0,004095139181743
CHE;F;57;No;0,00106570500998954
CHE;F;58;Yes;0,00444314743154224
CHE;F;58;No;0,00115626948627942
CHE;F;59;Yes;0,004813774859946
CHE;F;59;No;0,00125272030022252
CHE;F;60;Yes;0,00523774378448301
CHE;F;60;No;0,00136305252262251
CHE;F;61;Yes;0,00574690861493324
