country;gender;age;smoker;insured_rates
DE;M;0;No;0,004562
DE;M;1;No;0,000316
DE;M;2;No;0,000256
DE;M;3;No;0,000205
DE;M;4;No;0,000164
DE;M;5;No;0,000136
DE;M;6;No;0,000116
DE;M;7;No;0,000104
DE;M;8;No;0,000096
DE;M;9;No;0,000093
DE;M;10;No;0,000096
DE;M;11;No;0,000107
DE;M;12;No;0,000129
DE;M;13;No;0,000166
DE;M;14;No;0,000226
DE;M;15;No;0,000309
DE;M;16;No;0,000410
DE;M;17;No;0,000518
DE;M;18;No;0,000617
DE;M;19;No;0,000689
DE;M;20;No;0,000730
DE;M;21;No;0,000737
DE;M;22;No;0,000724
DE;M;23;No;0,000694
DE;M;24;No;0,000654
DE;M;25;No;0,000610
DE;M;26;No;0,000568
DE;M;27;No;0,000533
DE;M;28;No;0,000508
DE;M;29;No;0,000491
DE;M;30;No;0,000482
DE;M;31;No;0,000479
DE;M;32;No;0,000481
DE;M;33;No;0,000487
DE;M;34;No;0,000498
DE;M;35;No;0,000512
DE;M;36;No;0,000531
DE;M;37;No;0,000557
DE;M;38;No;0,000592
DE;M;39;No;0,000636
DE;M;40;No;0,000691
DE;M;41;No;0,000758
DE;M;42;No;0,000839
DE;M;43;No;0,000935
DE;M;44;No;0,001052
DE;M;45;No;0,001184
DE;M;46;No;0,001332
DE;M;47;No;0,001488
DE;M;48;No;0,001654
DE;M;49;No;0,001831
DE;M;50;No;0,002024
DE;M;51;No;0,002244
DE;M;52;No;0,002491
DE;M;53;No;0,002771
DE;M;54;No;0,003078
DE;M;55;No;0,003418
DE;M;56;No;0,003795
DE;M;57;No;0,004219
DE;M;58;No;0,004689
DE;M;59;No;0,005227
DE;M;60;No;0,005845
DE;M;61;No;0,006571
DE;M;62;No;0,007440
DE;M;63;No;0,008492
DE;M;64;No;0,009777
DE;M;65;No;0,011358
DE;M;66;No;0,013227
DE;M;67;No;0,015395
DE;M;68;No;0,017891
DE;M;69;No;0,020653
DE;M;70;No;0,023679
DE;M;71;No;0,026983
DE;M;72;No;0,030367
DE;M;73;No;0,033738
DE;M;74;No;0,037409
DE;M;75;No;0,041402
DE;M;76;No;0,045866
DE;M;77;No;0,050877
DE;M;78;No;0,056589
DE;M;79;No;0,063039
DE;M;80;No;0,070338
DE;M;0;Yes;0,004562
DE;M;1;Yes;0,000316
DE;M;2;Yes;0,000256
DE;M;3;Yes;0,000205
DE;M;4;Yes;0,000164
DE;M;5;Yes;0,000136
DE;M;6;Yes;0,000116
DE;M;7;Yes;0,000104
DE;M;8;Yes;0,000098
DE;M;9;Yes;0,000096
DE;M;10;Yes;0,000101
DE;M;11;Yes;0,000114
DE;M;12;Yes;0,000139
DE;M;13;Yes;0,000182
DE;M;14;Yes;0,000250
DE;M;15;Yes;0,000346
DE;M;16;Yes;0,000461
DE;M;17;Yes;0,000585
DE;M;18;Yes;0,000696
DE;M;19;Yes;0,000776
DE;M;20;Yes;0,000818
DE;M;21;Yes;0,000821
DE;M;22;Yes;0,000802
DE;M;23;Yes;0,000770
DE;M;24;Yes;0,000732
DE;M;25;Yes;0,000698
DE;M;26;Yes;0,000675
DE;M;27;Yes;0,000666
DE;M;28;Yes;0,000675
DE;M;29;Yes;0,000699
DE;M;30;Yes;0,000737
DE;M;31;Yes;0,000783
DE;M;32;Yes;0,000835
DE;M;33;Yes;0,000892
DE;M;34;Yes;0,000953
DE;M;35;Yes;0,001019
DE;M;36;Yes;0,001095
DE;M;37;Yes;0,001183
DE;M;38;Yes;0,001292
DE;M;39;Yes;0,001426
DE;M;40;Yes;0,001590
DE;M;41;Yes;0,001786
DE;M;42;Yes;0,002021
DE;M;43;Yes;0,002300
DE;M;44;Yes;0,002635
DE;M;45;Yes;0,003013
DE;M;46;Yes;0,003434
DE;M;47;Yes;0,003877
DE;M;48;Yes;0,004345
DE;M;49;Yes;0,004839
DE;M;50;Yes;0,005371
DE;M;51;Yes;0,005973
DE;M;52;Yes;0,006643
DE;M;53;Yes;0,007400
DE;M;54;Yes;0,008228
DE;M;55;Yes;0,009146
DE;M;56;Yes;0,010166
DE;M;57;Yes;0,011315
DE;M;58;Yes;0,012596
DE;M;59;Yes;0,014060
DE;M;60;Yes;0,015736
DE;M;61;Yes;0,017697
DE;M;62;Yes;0,020021
DE;M;63;Yes;0,022809
DE;M;64;Yes;0,026154
DE;M;65;Yes;0,030212
DE;M;66;Yes;0,034906
DE;M;67;Yes;0,040197
DE;M;68;Yes;0,046105
DE;M;69;Yes;0,052397
