,,"2019","2019"
"Indicator","Age Group","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.01386997","0.010925167"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.000416238","0.000339996"
"nMx - age-specific death rate between ages x and x+n","5-9 years","0.000214486","0.000175199"
"nMx - age-specific death rate between ages x and x+n","10-14 years","0.000337579","0.000214188"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.002091003","0.000421912"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.002805497","0.000528247"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.002464385","0.000609927"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.002371529","0.000809936"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.002793131","0.001261544"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.003459587","0.001752776"
"nMx - age-specific death rate between ages x and x+n","45-49 years","0.004854173","0.00254941"
"nMx - age-specific death rate between ages x and x+n","50-54 years","0.006931341","0.003782241"
"nMx - age-specific death rate between ages x and x+n","55-59 years","0.010346113","0.00575326"
"nMx - age-specific death rate between ages x and x+n","60-64 years","0.015575075","0.008830199"
"nMx - age-specific death rate between ages x and x+n","65-69 years","0.023082524","0.013413955"
"nMx - age-specific death rate between ages x and x+n","70-74 years","0.03502261","0.021835958"
