,,"2019","2019"
"Indicator","Age Group","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.005999666","0.005019533"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.000251593","0.000201505"
"nMx - age-specific death rate between ages x and x+n","5-9 years","0.000135127","0.000108226"
"nMx - age-specific death rate between ages x and x+n","10-14 years","0.000178153","0.00012587"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.000661341","0.000285938"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.001300168","0.0004815"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.001639255","0.000672314"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.001966183","0.000984953"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.002287992","0.001278144"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.002633023","0.00161936"
"nMx - age-specific death rate between ages x and x+n","45-49 years","0.003664498","0.002424855"
"nMx - age-specific death rate between ages x and x+n","50-54 years","0.005707536","0.003863206"
"nMx - age-specific death rate between ages x and x+n","55-59 years","0.009469766","0.006157265"
"nMx - age-specific death rate between ages x and x+n","60-64 years","0.013442595","0.008211105"
"nMx - age-specific death rate between ages x and x+n","65-69 years","0.018365065","0.011760426"
"nMx - age-specific death rate between ages x and x+n","70-74 years","0.02897608","0.01865392"
