country,age,gender,smoker,state,simulated_deaths,simulated_population,simulated_rates
Germany (insured),20,F,No,Baden-Württemberg,16.98,76569.10503744124,2.217604605891242e-4
Germany (insured),20,F,No,Bayern,19.8,90721.14701158057,2.1825120881102317e-4
Germany (insured),20,F,No,Berlin,5.66,25539.569796514083,2.2161688881590082e-4
Germany (insured),20,F,No,Brandenburg,3.68,17432.877603538123,2.1109538446212222e-4
Germany (insured),20,F,No,Bremen,0.88,4670.770373173664,1.8840575102005357e-4
Germany (insured),20,F,No,Hamburg,3.36,12898.482059527581,2.6049576876513973e-4
Germany (insured),20,F,No,Hessen,9.34,43356.398320344095,2.1542379814370785e-4
Germany (insured),20,F,No,Mecklenburg-Vorpommern,2.66,11003.063707043415,2.4175084965628697e-4
Germany (insured),20,F,No,Niedersachsen,12.6,55114.31790986357,2.2861572959329018e-4
Germany (insured),20,F,No,Nordrhein-Westfalen,28,122832.03073158054,2.279535706870073e-4
Germany (insured),20,F,No,Rheinland-Pfalz,6.52,28187.311819108683,2.3130974822437573e-4
Germany (insured),20,F,No,Saarland,1.36,6714.913998598888,2.0253423949789578e-4
Germany (insured),20,F,No,Sachsen,6.34,27614.397083244377,2.295903829038125e-4
Germany (insured),20,F,No,Sachsen-Anhalt,3.38,14723.619701874608,2.295631148072684e-4
Germany (insured),20,F,No,Schleswig-Holstein,4.72,20026.025127529847,2.3569330258711198e-4
Germany (insured),20,F,No,Thüringen,3.26,14331.207815998381,2.2747559325465635e-4
Germany (insured),20,F,Yes,Baden-Württemberg,6.04,20109.057888620926,3.0036215686752004e-4
Germany (insured),20,F,Yes,Bayern,7.12,23825.755780819134,2.9883627052586253e-4
Germany (insured),20,F,Yes,Berlin,2.1,6707.361764741071,3.130888229466281e-4
Germany (insured),20,F,Yes,Brandenburg,1.66,4578.331491838297,3.62577502952604e-4
Germany (insured),20,F,Yes,Bremen,0.22,1226.6669666920736,1.793477822210125e-4
Germany (insured),20,F,Yes,Hamburg,1.1,3387.4801368456283,3.247251513109399e-4
Germany (insured),20,F,Yes,Hessen,3.52,11386.52885180754,3.0913723100444454e-4
Germany (insured),20,F,Yes,Mecklenburg-Vorpommern,1,2889.6934988194826,3.460574626369637e-4
Germany (insured),20,F,Yes,Niedersachsen,4.28,14474.467329863159,2.956930920124204e-4
Germany (insured),20,F,Yes,Nordrhein-Westfalen,10.1,32258.91716182922,3.130917243543114e-4
Germany (insured),20,F,Yes,Rheinland-Pfalz,2.12,7402.728356533594,2.863808987572675e-4
Germany (insured),20,F,Yes,Saarland,0.64,1763.512767308799,3.629120309555055e-4
Germany (insured),20,F,Yes,Sachsen,2.26,7252.265900650038,3.116267427256674e-4
Germany (insured),20,F,Yes,Sachsen-Anhalt,1.14,3866.809214633735,2.948167175369631e-4
Germany (insured),20,F,Yes,Schleswig-Holstein,1.82,5259.360134502789,3.460497006204843e-4
Germany (insured),20,F,Yes,Thüringen,1.08,3763.7515476359386,2.8694773986299977e-4
Germany (insured),20,M,No,Baden-Württemberg,55.42,77118.03484633677,7.186386441307579e-4
Germany (insured),20,M,No,Bayern,67.72,91371.53389892238,7.411498648464593e-4
Germany (insured),20,M,No,Berlin,18.98,25722.664938618975,7.378706695162129e-4
Germany (insured),20,M,No,Brandenburg,12.54,17557.85524519569,7.142102395126699e-4
Germany (insured),20,M,No,Bremen,3.54,4704.255485570987,7.525101497692842e-4
Germany (insured),20,M,No,Hamburg,9.68,12990.95227043728,7.451339823661879e-4
Germany (insured),20,M,No,Hessen,31.92,43667.22367781362,7.3098304200681e-4
Germany (insured),20,M,No,Mecklenburg-Vorpommern,8.38,11081.945517860182,7.561849123418267e-4
Germany (insured),20,M,No,Niedersachsen,39.94,55509.436698085985,7.195172996842385e-4
Germany (insured),20,M,No,Nordrhein-Westfalen,89.9,123712.62301645528,7.266841314005784e-4
Germany (insured),20,M,No,Rheinland-Pfalz,20.76,28389.38882761722,7.312591379143977e-4
Germany (insured),20,M,No,Saarland,4.62,6763.053734020876,6.831233613832676e-4
Germany (insured),20,M,No,Sachsen,19.52,27812.366821904096,7.018460573670665e-4
Germany (insured),20,M,No,Sachsen-Anhalt,10.56,14829.174465055505,7.121097688131135e-4
Germany (insured),20,M,No,Schleswig-Holstein,14.98,20169.593243427465,7.427021367860968e-4
Germany (insured),20,M,No,Thüringen,10.52,14433.949348158532,7.288372534951517e-4
Germany (insured),20,M,Yes,Baden-Württemberg,22.6,28523.108778782087,7.923399996571132e-4
Germany (insured),20,M,Yes,Bayern,27.94,33794.950894121976,8.267507204710767e-4
Germany (insured),20,M,Yes,Berlin,8.44,9513.8623745577,8.871265599311736e-4
Germany (insured),20,M,Yes,Brandenburg,5.54,6494.001255072377,8.530949998928289e-4
Germany (insured),20,M,Yes,Bremen,1.24,1739.9301111015977,7.126723033805776e-4
Germany (insured),20,M,Yes,Hamburg,3.76,4804.872757558993,7.825389328124857e-4
Germany (insured),20,M,Yes,Hessen,13.42,16150.890949328324,8.309139131769139e-4
Germany (insured),20,M,Yes,Mecklenburg-Vorpommern,3.34,4098.801766879794,8.148722943833826e-4
Germany (insured),20,M,Yes,Niedersachsen,16.5,20530.887545867416,8.036671557982023e-4
Germany (insured),20,M,Yes,Nordrhein-Westfalen,37.06,45756.72358142866,8.099356138130832e-4
Germany (insured),20,M,Yes,Rheinland-Pfalz,9.04,10500.184908844725,8.609372195327004e-4
Germany (insured),20,M,Yes,Saarland,1.82,2501.4034358707345,7.27591548768486e-4
Germany (insured),20,M,Yes,Sachsen,8.72,10286.76581084124,8.476911169504781e-4
Germany (insured),20,M,Yes,Sachsen-Anhalt,4.84,5484.763158308201,8.824446672174845e-4
Germany (insured),20,M,Yes,Schleswig-Holstein,5.8,7459.98654208961,7.774812953449869e-4
Germany (insured),20,M,Yes,Thüringen,4.74,5338.5840054832925,8.878758852781032e-4
Germany (insured),21,F,No,Baden-Württemberg,17.7,80141.73477197756,2.2085870801724896e-4
Germany (insured),21,F,No,Bayern,20.88,94954.0953685756,2.198957287619012e-4
Germany (insured),21,F,No,Berlin,6.28,26731.21786942385,2.3493130880442581e-4
Germany (insured),21,F,No,Brandenburg,4.02,18246.276386957088,2.2031892506427228e-4
Germany (insured),21,F,No,Bremen,0.96,4888.703351627989,1.9637108880421432e-4
Germany (insured),21,F,No,Hamburg,3.26,13500.310963152857,2.4147591925087486e-4
Germany (insured),21,F,No,Hessen,9.88,45379.35990185821,2.1772012697771507e-4
Germany (insured),21,F,No,Mecklenburg-Vorpommern,2.92,11516.454487196312,2.53550257437858e-4
Germany (insured),21,F,No,Niedersachsen,13.2,57685.89101192849,2.28825450529497e-4
Germany (insured),21,F,No,Nordrhein-Westfalen,28.68,128563.23739947278,2.2308087895208536e-4
Germany (insured),21,F,No,Rheinland-Pfalz,6.42,29502.50060566108,2.176086727634233e-4
Germany (insured),21,F,No,Saarland,1.52,7028.224457229925,2.1627083899353528e-4
Germany (insured),21,F,No,Sachsen,6.34,28902.854302022777,2.1935549803315767e-4
Germany (insured),21,F,No,Sachsen-Anhalt,3.16,15410.607508787078,2.050535644489147e-4
Germany (insured),21,F,No,Schleswig-Holstein,4.24,20960.41730568317,2.0228604889705005e-4
Germany (insured),21,F,No,Thüringen,3.14,14999.886118431448,2.093349226259561e-4
Germany (insured),21,F,Yes,Baden-Württemberg,6.18,21047.324283549668,2.936240215973777e-4
Germany (insured),21,F,Yes,Bayern,7.2,24937.43918770672,2.887225085865812e-4
Germany (insured),21,F,Yes,Berlin,2.14,7020.319844495154,3.0482941623778567e-4
Germany (insured),21,F,Yes,Brandenburg,1.38,4791.951374352365,2.879828888469278e-4
Germany (insured),21,F,Yes,Bremen,0.34,1283.9018903265428,2.6481774235376015e-4
Germany (insured),21,F,Yes,Hamburg,1.12,3545.536212545195,3.1589015958632613e-4
Germany (insured),21,F,Yes,Hessen,3.66,11917.811691397106,3.0710335880218493e-4
Germany (insured),21,F,Yes,Mecklenburg-Vorpommern,0.7,3024.523400677819,2.3144142308276555e-4
Germany (insured),21,F,Yes,Niedersachsen,4.78,15149.829962728696,3.155150923647103e-4
Germany (insured),21,F,Yes,Nordrhein-Westfalen,9.64,33764.08254935649,2.8551049731347517e-4
Germany (insured),21,F,Yes,Rheinland-Pfalz,1.94,7748.131472193819,2.503829480646003e-4
Germany (insured),21,F,Yes,Saarland,0.5,1845.7963221007888,2.7088579276771243e-4
Germany (insured),21,F,Yes,Sachsen,2.56,7590.648604571639,3.372570821494994e-4
Germany (insured),21,F,Yes,Sachsen-Anhalt,1.12,4047.2302548329694,2.767324638035013e-4
Germany (insured),21,F,Yes,Schleswig-Holstein,1.62,5504.756060078408,2.942909699030197e-4
Germany (insured),21,F,Yes,Thüringen,1.22,3939.36403110321,3.0969465892654295e-4
Germany (insured),21,M,No,Baden-Württemberg,59.7,80923.1224371325,7.377372276555406e-4
Germany (insured),21,M,No,Bayern,68.22,95879.90461251143,7.115151008514659e-4
Germany (insured),21,M,No,Berlin,20.04,26991.84916193538,7.42446354074212e-4
Germany (insured),21,M,No,Brandenburg,13.94,18424.178891118514,7.566144511720878e-4
Germany (insured),21,M,No,Bremen,4.1,4936.368560129307,8.305700739437091e-4
Germany (insured),21,M,No,Hamburg,9.62,13631.939963852405,7.056955961887449e-4
Germany (insured),21,M,No,Hessen,34.5,45821.811917413244,7.529165381364869e-4
Germany (insured),21,M,No,Mecklenburg-Vorpommern,8.9,11628.740744889847,7.653451216470736e-4
Germany (insured),21,M,No,Niedersachsen,42.22,58248.33258894753,7.248276152030339e-4
Germany (insured),21,M,No,Nordrhein-Westfalen,96.64,129816.73819006784,7.444340487010775e-4
Germany (insured),21,M,No,Rheinland-Pfalz,22.38,29790.152103723613,7.512549758751523e-4
Germany (insured),21,M,No,Saarland,5.52,7096.750150047095,7.778208170345927e-4
Germany (insured),21,M,No,Sachsen,21.76,29184.659205593038,7.455971936047088e-4
Germany (insured),21,M,No,Sachsen-Anhalt,11.4,15560.862037893188,7.326072278154756e-4
Germany (insured),21,M,No,Schleswig-Holstein,15.8,21164.782878574257,7.465231318765294e-4
Germany (insured),21,M,No,Thüringen,11.56,15146.136084507418,7.632309610518037e-4
Germany (insured),21,M,Yes,Baden-Württemberg,24.34,29930.469942501066,8.132181033829129e-4
Germany (insured),21,M,Yes,Bayern,27.9,35462.43047312066,7.867481057494711e-4
Germany (insured),21,M,Yes,Berlin,8.2,9983.286676332265,8.213727869239729e-4
Germany (insured),21,M,Yes,Brandenburg,5.72,6814.42232959178,8.393961693804584e-4
Germany (insured),21,M,Yes,Bremen,1.7,1825.7801523765934,9.311088182151246e-4
Germany (insured),21,M,Yes,Hamburg,3.3,5041.950397589246,6.545086206278148e-4
Germany (insured),21,M,Yes,Hessen,13.46,16947.793448906268,7.942036844252812e-4
Germany (insured),21,M,Yes,Mecklenburg-Vorpommern,3.64,4301.041097425013,8.463067237788612e-4
Germany (insured),21,M,Yes,Niedersachsen,17.86,21543.90383426826,8.290048144195411e-4
Germany (insured),21,M,Yes,Nordrhein-Westfalen,38.86,48014.410015504545,8.093403623506265e-4
Germany (insured),21,M,Yes,Rheinland-Pfalz,9.26,11018.275435623802,8.404219021482234e-4
Germany (insured),21,M,Yes,Saarland,2.16,2624.8253979626247,8.229118788916704e-4
Germany (insured),21,M,Yes,Sachsen,8.78,10794.326007548112,8.133902935542653e-4
Germany (insured),21,M,Yes,Sachsen-Anhalt,4.9,5755.387329083781,8.513762358336441e-4
Germany (insured),21,M,Yes,Schleswig-Holstein,6.52,7828.070379746643,8.329000230847465e-4
Germany (insured),21,M,Yes,Thüringen,4.48,5601.995538105484,7.997150246776299e-4
